measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091803.csv	p1	0.47868	0	129.174	829	0
BD18_1510091803.csv	p2	0.50372	0	14.3913	872	0
BD18_1510091803.csv	p3	1.00168	95.612	44.5398	1727	192
BD18_1510091803.csv	p5	0.54741	1.934	21.0946	947	4
BD18_1510091803.csv	p7	0.958	96.049	52.7331	1652	193
BD18_1510091803.csv	p9	0.53459	2.465	16.907	925	5
BD18_1510091803.csv	p11	0.91607	28.33	19.8094	1580	57
BD18_1510091803.csv	p12	0.58643	3.432	125.294	1014	7
BD18_1510091803.csv	p14	0.68951	3.432	14.0938	1191	7
BD18_1510091803.csv	p15	1.1036	96.049	20.9791	1902	193
BD18_1510091803.csv	p17	0.80017	28.844	10.5366	1381	58
BD18_1510091803.csv	p18	0.89569	93.569	14.2899	1545	188
BD18_1510091803.csv	p19	0.45247	4.383	205.029	784	9
BD18_1510091803.csv	p20	0.97373	96.049	55.7071	1679	193
BD18_1510091803.csv	p24	1.02614	98.108	38.31	1769	197
BD18_1510091803.csv	p25	0.78212	28.33	12.1107	1350	57
BD18_1510091803.csv	p26	0.71747	27.877	30.5466	1239	56
BD18_1510091803.csv	p30	0.59574	37.799	11.4798	1030	76
BD18_1510091803.csv	p34	0.58002	7.425	19.0001	1003	15
BD18_1510091803.csv	p36	0.8124	28.844	14.0793	1402	58
BD18_1510091803.csv	p37	1.04711	96.049	31.2935	1805	193
BD18_1510091803.csv	p39	0.78095	8.471	11.1058	1348	17
BD18_1510091803.csv	p40	0.68544	32.308	40.5219	1184	65
BD18_1510091803.csv	p41	0.89685	27.877	24.5505	1547	56
BD18_1510091803.csv	p46	0.75765	7.94	27.9493	1308	16
BD18_1510091803.csv	p49	1.11409	95.612	21.3658	1920	192
BD18_1510091803.csv	p53	0.64467	23.384	21.6865	1114	47
BD18_1510091803.csv	p55	1.05759	98.108	28.6312	1823	197
BD18_1510091803.csv	p56	0.75998	28.33	11.8141	1312	57
BD18_1510091803.csv	p57	0.49732	5.99	217.155	861	12
BD18_1510091803.csv	p60	0.99236	97.562	49.3235	1711	196
BD18_1510091803.csv	p63	0.99644	96.58	47.9731	1718	194
BD18_1510091803.csv	p65	0.96383	98.108	52.1344	1662	197
BD18_1510091803.csv	p67	1.0838	98.108	23.822	1868	197
BD18_1510091803.csv	p69	1.05235	96.049	30.0848	1814	193
BD18_1510091803.csv	p70	0.54799	7.425	602.372	948	15
BD18_1510091803.csv	p71	0.82405	29.921	15.7707	1422	60
BD18_1510091803.csv	p73	0.89976	98.108	11.2345	1552	197
BD18_1510091803.csv	p78	1.03313	98.108	35.5809	1781	197
BD18_1510091803.csv	p79	1.07856	96.049	23.9862	1859	193
BD18_1510091803.csv	p80	1.04187	97.562	31.6483	1796	196
BD18_1510091803.csv	p82	1.09196	97.016	21.491	1882	195
BD18_1510091803.csv	p83	0.81881	28.844	15.3547	1413	58
BD18_1510091803.csv	p84	0.53576	8.907	59.3955	927	18
BD18_1510091803.csv	p85	0.57653	23.384	10.6344	997	47
BD18_1510091803.csv	p89	0.59749	19.438	84.5531	1033	39
BD18_1510091803.csv	p93	0.6435	27.877	368.062	1112	56
BD18_1510091803.csv	p94	0.8456	29.921	625.91	1459	60
BD18_1510091803.csv	p95	1.00692	98.108	43.1158	1736	197
BD18_1510091803.csv	p96	1.11059	98.108	22.0994	1914	197
BD18_1510091803.csv	p97	1.12224	98.108	21.8071	1934	197
BD18_1510091803.csv	p99	1.1403	96.049	63.5923	1965	193
BD18_1510091803.csv	p100	0.60739	74.708	13.5593	1050	150
BD18_1510091803.csv	p102	0.92364	102.991	107.753	1593	207
BD18_1510091803.csv	p104	0.60739	91.073	88.3887	1050	183
BD18_1510091803.csv	p106	0.94461	95.066	51.9715	1629	191
BD18_1510091803.csv	p107	0.73902	91.073	21.2652	1276	183
BD18_1510091803.csv	p112	1.011	98.108	42.4307	1743	197
BD18_1510091803.csv	p114	0.88753	117.031	49.2909	1531	235
BD18_1510091803.csv	p116	0.60739	122.99	38.0854	1050	247
BD18_1510091803.csv	p119	0.60739	139.885	20.4247	1050	281
BD18_1510091803.csv	p120	0.60681	105.097	97.2501	1049	211
BD18_1510091803.csv	p121	1.06924	98.108	25.9872	1843	197
BD18_1510091803.csv	p123	0.95218	95.066	52.1085	1642	191
BD18_1510091803.csv	p127	1.06225	98.108	27.2279	1831	197
BD18_1510091803.csv	p129	1.09836	98.108	21.3544	1893	197
BD18_1510091803.csv	p132	0.97722	96.049	56.0375	1685	193
