measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091739.csv	p1	0.47857	0	106.082	829	0
BD18_1510091739.csv	p2	0.58687	3.479	53.0969	1015	7
BD18_1510091739.csv	p3	0.45236	4.009	188.832	784	8
BD18_1510091739.csv	p4	0.59735	29.359	166.122	1033	59
BD18_1510091739.csv	p5	0.59735	19.438	287.717	1033	39
BD18_1510091739.csv	p6	0.64393	29.359	253.345	1113	59
BD18_1510091739.csv	p7	0.59735	37.331	225.995	1033	75
BD18_1510091739.csv	p8	0.59793	56.706	108.43	1034	114
BD18_1510091739.csv	p9	0.49545	10.436	117.672	858	21
BD18_1510091739.csv	p10	0.49778	5.491	212.89	862	11
BD18_1510091739.csv	p11	0.53621	9.984	55.2474	928	20
BD18_1510091739.csv	p12	0.54786	7.426	806.776	948	15
BD18_1510091739.csv	p13	0.64451	19.438	52.577	1114	39
BD18_1510091739.csv	p14	0.924	100.059	120.866	1594	201
BD18_1510091739.csv	p16	0.60608	102.071	99.1799	1048	205
